,dataset_first_,random_seed_set_first_,architecture_first_,added_num_triangles_first_,k_wl_turbo_version_first_,best_test_acc_mean_count,best_test_acc_mean_mean,best_test_acc_mean_std,best_val_acc_mean_mean,best_val_acc_mean_std
0,IMDB-BINARY,False,1-2-3-imdb_wandb.py,False,False,28,0.7163,0.0069,0.706,0.1386
1,IMDB-BINARY,False,1-imdb_wandb.py,False,False,20,0.7043,0.0206,0.7303,0.0172
2,IMDB-BINARY,True,1-1-imdb_turbo_wandb.py,False,disconnected,20,0.7259,0.0046,0.7151,0.0063
3,IMDB-BINARY,True,1-2-3-imdb_wandb.py,False,False,21,0.7217,0.0046,0.7109,0.0037
4,IMDB-BINARY,True,1-2-3-imdb_wandb.py,False,both_k_disconnected,20,0.7258,0.0063,0.7149,0.0054
5,IMDB-BINARY,True,1-2-3-imdb_wandb.py,False,disconnected,24,0.7253,0.0063,0.7167,0.0062
6,IMDB-BINARY,True,1-2-3-imdb_wandb.py,True,False,20,0.7307,0.0069,0.729,0.0039
7,IMDB-BINARY,True,1-2-imdb_wandb.py,False,False,20,0.7217,0.0048,0.7108,0.0068
8,IMDB-BINARY,True,1-2-imdb_wandb.py,False,disconnected,20,0.7258,0.0052,0.719,0.0065
9,IMDB-BINARY,True,1-3-imdb_wandb.py,False,False,20,0.7201,0.0037,0.7146,0.0058
10,IMDB-BINARY,True,1-3-imdb_wandb.py,False,disconnected,20,0.7256,0.0066,0.7246,0.0044
11,IMDB-BINARY,True,1-imdb-added-layers_wandb.py,False,False,20,0.7149,0.0088,0.723,0.0068
12,IMDB-BINARY,True,1-imdb_wandb.py,False,False,40,0.7112,0.0093,0.7242,0.0091
13,IMDB-BINARY,True,1-imdb_wandb.py,True,False,40,0.7259,0.0088,0.7409,0.0079
14,IMDB-BINARY,True,3-imdb_wandb.py,False,False,20,0.7235,0.0054,0.723,0.0049
15,IMDB-BINARY,True,3-no-init-imdb_wandb.py,False,False,20,0.7211,0.0045,0.7152,0.0038
16,MUTAG,False,1-2-3-mutag_wandb.py,False,False,50,0.8331,0.0116,0.8554,0.0238
17,MUTAG,False,1-2-3-mutag_wandb.py,True,False,50,0.8234,0.0093,0.8525,0.0267
18,MUTAG,False,1-mutag_wandb.py,False,False,50,0.8281,0.0108,0.8441,0.0202
19,MUTAG,False,1-mutag_wandb.py,True,False,50,0.8298,0.0197,0.8491,0.0289
20,MUTAG,True,1-2-3-mutag_wandb.py,False,False,79,0.8231,0.0147,0.8457,0.0178
21,MUTAG,True,1-2-3-mutag_wandb.py,True,False,100,0.8254,0.0057,0.8383,0.0149
22,MUTAG,True,1-mutag_wandb.py,False,False,42,0.8213,0.0192,0.8237,0.0188
23,MUTAG,True,1-mutag_wandb.py,True,False,40,0.8324,0.0052,0.8193,0.008
